cik,name,reportingDate,filingDate,nameOfIssuer,titleOfClass,cusip,value,sshPrnamt,sshPrnamtType,putCall,investmentDiscretion,otherManager,Sole,Shared,None
1081407,GABELLI FUNDS LLC,20240930,20241113,WOLFSPEED INC 1.875 12/01/29 CVT,BOND CONVERTIBLE,977852AD4,1970870,5225000,PRN,,SOLE,,5225000,0,0
1647273,Perpetual Ltd,20240630,20240730,WOLFSPEED INC,COM,977852102,861967,37872,SH,,SOLE,1,37872,0,0
1629996,Alken Asset Management Ltd,20231231,20240129,Wolfspeed 0.250 15-Fe,US DOMESTIC,977852AB8,1057,1550,PRN,,SOLE,,0,150,1400
1283072,GUGGENHEIM CAPITAL LLC,20231231,20240214,WOLFSPEED INC,COM,977852102,4723141,108553,SH,,DFND,2,0,108553,0
1761054,Treasurer of the State of North Carolina,20240331,20240509,WOLFSPEED INC,COM,977852102,1634,55378,SH,,SOLE,,55378,0,0
714142,TEACHERS RETIREMENT SYSTEM OF THE STATE OF KENTUCKY,20240630,20240826,WOLFSPEED INC,COM,977852102,820,36019,SH,,SOLE,1,36019,0,0
714142,TEACHERS RETIREMENT SYSTEM OF THE STATE OF KENTUCKY,20240630,20240826,"WOLFSPEED, INC",COM,977852102,7488,329009,SH,,SOLE,10,329009,0,0
714142,TEACHERS RETIREMENT SYSTEM OF THE STATE OF KENTUCKY,20240630,20240826,"WOLFSPEED, INC",COM,977852102,100,4374,SH,,SOLE,21,4374,0,0
1462245,"HighTower Advisors, LLC",20231231,20240212,WOLFSPEED INC,COM,977852102,663000,15200,SH,,SOLE,,15200,0,0
1784450,"Marcum Wealth, LLC",20240930,20241008,WOLFSPEED INC,NOTE 1.875%12/0,977852AD4,11160,30000,PRN,,SOLE,0,0,0,30000
1021258,BALDWIN BROTHERS LLC/MA,20240630,20240712,WOLFSPEED INC,COM,977852102,15932,700,SH,,SOLE,,700,0,0
1544599,"Bank Julius Baer & Co. Ltd, Zurich",20231231,20240202,WOLFSPEED INC,COM,977852102,62,1417,SH,,SOLE,,0,0,1417
1903055,Snowden Capital Advisors LLC,20190630,20240108,CREE INC,COM,225447101,16747,1500000,SH,,SOLE,,1500000,0,0
1456228,DekaBank Deutsche Girozentrale,20240630,20240808,WOLFSPEED INC,COM,977852102,2147,92899,SH,,DFND,1,92899,0,0
1578621,LMR Partners LLP,20240331,20240515,WOLFSPEED INC,NOTE  1.750% 5/0,225447AD3,16090840,17000000,PRN,,SOLE,,17000000,0,0
1578621,LMR Partners LLP,20240331,20240515,WOLFSPEED INC,COM,977852102,26078000,884000,SH,Put,SOLE,,884000,0,0
1578621,LMR Partners LLP,20240331,20240515,WOLFSPEED INC,NOTE  0.250% 2/1,977852AB8,3536340,6000000,PRN,,SOLE,,6000000,0,0
1263548,WHITTIER TRUST CO OF NEVADA INC,20231231,20240111,WOLFSPEED INC               COM,FIXED INCOME TAX EXEMPT,977852102,17050,392,SH,,SOLE,,392,0,0
1802136,"Investment Research & Advisory Group, Inc.",20240331,20240417,WOLFSPEED INC,COM,977852102,1947,66,SH,,SOLE,,0,0,66
1370102,"State of Alaska, Department of Revenue",20240630,20240805,WOLFSPEED INC,COM,977852102,308,13537,SH,,SOLE,,13537,0,0
1909846,Covestor Ltd,20240331,20240510,WOLFSPEED INC,COMMON,977852102,14,490,SH,,SOLE,,490,0,0
1827844,"TFC Financial Management, Inc.",20240331,20240430,WOLFSPEED INC,COM,977852102,295,10,SH,,SOLE,,0,0,10
1904425,"Cassady Schiller Wealth Management, LLC",20240331,20240513,WOLFSPEED INC,COM,977852102,7818,265,SH,,SOLE,,0,0,265
1764807,"New Age Alpha Advisors, LLC",20240331,20240513,WOLFSPEED INC,NOTE  1.875%12/0,977852AD4,1133300,2000000,SH,,SOLE,,2000000,0,0
1835751,CastleKnight Management LP,20240930,20241114,WOLFSPEED INC,NOTE 1.750% 5/0,225447AD3,2861220,4000000,PRN,,SOLE,,0,4000000,0
1835751,CastleKnight Management LP,20240930,20241114,WOLFSPEED INC,NOTE 0.250% 2/1,977852AB8,6234488,15500000,PRN,,SOLE,,0,15500000,0
1462245,"HighTower Advisors, LLC",20240331,20240506,WOLFSPEED INC,COM,977852102,417000,14211,SH,,SOLE,,14211,0,0
1465109,Neuberger Berman Group LLC,20231231,20240209,,Common,977852102,8185188,188122,SH,,DFND,,144528,0,43594
1465109,Neuberger Berman Group LLC,20231231,20240209,,Common,977852102,4090,94,SH,,SOLE,,94,0,0
1465109,Neuberger Berman Group LLC,20231231,20240209,,Bond,977852AD4,3546162,5164000,PRN,,DFND,,5164000,0,0
1421097,"SAMLYN CAPITAL, LLC",20240630,20240814,WOLFSPEED INC,COM,977852102,8859102,389240,SH,,DFND,2,389240,0,0
1421097,"SAMLYN CAPITAL, LLC",20240630,20240814,WOLFSPEED INC,COM,977852102,8569049,376496,SH,,DFND,4,376496,0,0
1421097,"SAMLYN CAPITAL, LLC",20240630,20240814,WOLFSPEED INC,COM,977852102,3961583,174059,SH,,DFND,"1,3",174059,0,0
1421097,"SAMLYN CAPITAL, LLC",20240630,20240814,WOLFSPEED INC,COM,977852102,1578224,69342,SH,,DFND,5,69342,0,0
1755622,"Soviero Asset Management, LP",20240930,20241114,WOLFSPEED INC,COM,977852102,2910000,300000,SH,,SOLE,,300000,0,0
312069,BARCLAYS PLC,20240930,20241115,WOLFSPEED INC,COM,977852102,2570,264929,SH,,SOLE,1,264929,0,0
312069,BARCLAYS PLC,20240930,20241115,WOLFSPEED INC,BOND,977852AB8,299,747000,PRN,,SOLE,8,0,0,747000
312069,BARCLAYS PLC,20240930,20241115,WOLFSPEED INC,OPT,977852102,798,82300,SH,Call,SOLE,8,82300,0,0
312069,BARCLAYS PLC,20240930,20241115,WOLFSPEED INC,COM,977852102,21,2121,SH,,SOLE,9,2121,0,0
1407543,ENVESTNET ASSET MANAGEMENT INC,20240331,20240513,WOLFSPEED INC,COM,977852102,4385160,148649,SH,,SOLE,,148649,0,0
1602603,"Family Firm, Inc.",20240630,20240724,WOLFSPEED INC COM,Stock,977852102,2253,99,SH,,SOLE,,99,0,0
1542161,"Glaxis Capital Management, LLC",20231231,20240208,WOLFSPEED INC,COM,977852102,29369,675,SH,,SOLE,,675,0,0
1542161,"Glaxis Capital Management, LLC",20231231,20240208,WOLFSPEED INC,COM,977852102,652650,15000,SH,Call,SOLE,,15000,0,0
