company_name,quarter,asset_category,balance,position_change
LOOMIS SAYLES FUNDS II,2024Q3,Other,1215000.0,1195000.0
M FUND INC,2024Q3,Other,73370.0,
MASSMUTUAL SELECT FUNDS,2024Q3,Other,330000.0,
MASSMUTUAL SELECT FUNDS,2024Q3,Other,1265000.0,
MASTER INVESTMENT PORTFOLIO,2024Q3,Other,80018.0,
MORGAN STANLEY PATHWAY FUNDS,2024Q3,Other,3902.0,
MORGAN STANLEY PATHWAY FUNDS,2024Q3,Other,17852.0,13950.0
MoA Funds Corp,2024Q3,Other,70292.0,
Morningstar Funds Trust,2024Q3,Other,240000.0,
Morningstar Funds Trust,2024Q3,Other,15000.0,
NATIONWIDE MUTUAL FUNDS,2024Q3,Other,27672.0,
NATIONWIDE MUTUAL FUNDS,2024Q3,Other,69201.0,41529.0
NATIONWIDE VARIABLE INSURANCE TRUST,2024Q3,Other,56126.0,
NEUBERGER BERMAN EQUITY FUNDS,2024Q3,Other,260773.0,
NEW COVENANT FUNDS,2024Q3,Shares,248.0,
NEW ECONOMY FUND,2024Q3,Other,2093227.0,
NEW PERSPECTIVE FUND,2024Q3,Other,2255516.0,
NEW WORLD FUND INC,2024Q3,Other,1887288.0,
NORTHERN FUNDS,2024Q3,Other,96081.0,
NORTHERN LIGHTS FUND TRUST II,2024Q3,Other,10307.0,
NORTHERN LIGHTS FUND TRUST II,2024Q3,Other,23520.0,13213.0
NORTHWESTERN MUTUAL SERIES FUND INC,2024Q3,Other,62525.0,
Northern Lights Fund Trust IV,2024Q3,Other,12799.0,
Nushares ETF Trust,2024Q3,Other,96109.0,
Nuveen S&P 500 Dynamic Overwrite Fund,2024Q3,Other,2647.0,
OLD WESTBURY FUNDS INC,2024Q3,Other,415773.0,
PACIFIC SELECT FUND,2024Q3,Other,3627.0,
PACIFIC SELECT FUND,2024Q3,Other,7112.0,3485.0
PENN SERIES FUNDS INC,2024Q3,Other,9788.0,
PIMCO Equity Series,2024Q3,Shares,443.0,
PRIMECAP Odyssey Funds,2024Q3,Other,701200.0,
PRIMECAP Odyssey Funds,2024Q3,Other,1347400.0,646200.0
"PRINCIPAL FUNDS, INC.",2024Q3,Other,3604.0,
"PRINCIPAL FUNDS, INC.",2024Q3,Other,56742.0,53138.0
"PRINCIPAL FUNDS, INC.",2024Q3,Other,4977.0,-51765.0
PROSHARES TRUST,2024Q3,Other,1050.0,
PROSHARES TRUST,2024Q3,Other,5013.0,3963.0
PROSHARES TRUST,2024Q3,Other,15796.0,10783.0
PRUDENTIAL INVESTMENT PORTFOLIOS 2,2024Q3,Other,490.0,
PUTNAM CONVERTIBLE SECURITIES FUND,2024Q3,Other,7515000.0,
PUTNAM DIVERSIFIED INCOME TRUST,2024Q3,Other,434000.0,
PUTNAM HIGH YIELD FUND,2024Q3,Other,78000.0,
PUTNAM MASTER INTERMEDIATE INCOME TRUST,2024Q3,Other,82000.0,
PUTNAM PREMIER INCOME TRUST,2024Q3,Other,182000.0,
PUTNAM VARIABLE TRUST,2024Q3,Other,55000.0,
Pacer Funds Trust,2024Q3,Other,20750.0,
Pacer Funds Trust,2024Q3,Other,18591.0,-2159.0
Perpetual Americas Funds Trust,2024Q3,Other,11658.0,
ProFunds,2024Q3,Other,365.0,
ProFunds,2024Q3,Other,926.0,561.0
ProFunds,2024Q3,Other,621.0,-305.0
