doc_type,company_name,filing_date,name,lei,title,cusip,identifiers_otherDesc,identifiers_value,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerConditional_desc,issuerConditional_issuerCat,invCountry,isRestrictedSec,fairValLevel,derivCat,counterpartyName,counterpartyLei,putOrCall,writtenOrPur,descRefInstrmnt_issuerName,descRefInstrmnt_issueTitle,descRefInstrmnt_otherDesc,descRefInstrmnt_otherValue,shareNo,exercisePrice,exercisePriceCurCd,expDt,delta,unrealizedAppr,isCashCollateral,isNonCashCollateral,isLoanByFund,estSharesLoaned
NPORT-P,CALAMOS STRATEGIC TOTAL RETURN FUND,2024-09-30,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,977852AD4,,,5670000.0,PA,USD,2826608.4,0.102945327947,Long,DBT,,,,,2,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,CALVERT IMPACT FUND INC,2024-08-28,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,,,30787.0,NS,USD,700712.12,0.460504680117,Long,EC,,,,,1,,,,,,,,,,,,,,,,N,N,Y,31108.0
NPORT-P,CAPITAL WORLD GROWTH & INCOME FUND,2024-07-08,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC,977852102,,WOLF,767505.0,NS,USD,19724878.5,0.0160241023,Long,EC,,,,,1,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,CARILLON SERIES TRUST,2024-08-26,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,,,1861.0,NS,USD,42356.36,0.2164665146,Long,EC,,,,,1,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,CENTRAL SECURITIES CORP,2024-08-20,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,Common Stock,977852102,,,170000.0,NS,USD,3869200.0,0.26,Long,EC,,,,,1,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,COLLEGE RETIREMENT EQUITIES FUND,2024-08-28,Wolfspeed Inc,549300OGU88P3AW3TO93,"Wolfspeed, Inc",977852102,,,62345.0,NS,USD,1418972.2,0.005728113939,Long,EC,,,,,1,,,,,,,,,,,,,,,,N,N,Y,61721.0
NPORT-P,COLLEGE RETIREMENT EQUITIES FUND,2024-08-28,Wolfspeed Inc,549300OGU88P3AW3TO93,"Wolfspeed, Inc",977852102,,,90261.0,NS,USD,2054340.36,0.001629528807,Long,EC,,,,,1,,,,,,,,,,,,,,,,N,N,Y,89357.0
NPORT-P,COLUMBIA FUNDS SERIES TRUST,2024-07-26,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC,977852AD4,,977852AD4,12083000.0,PA,USD,6718148.0,0.5644819074,Long,DBT,,,,,2,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,COLUMBIA FUNDS SERIES TRUST,2024-07-26,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,,977852102,123964.0,NS,USD,3185874.8,0.1193800905,Long,EC,,,,,1,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,COLUMBIA FUNDS SERIES TRUST I,2024-09-24,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,,977852102,-7529.0,NS,USD,-141921.65,-0.0517806165,Short,EC,,,,,1,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,Calamos Dynamic Convertible & Income Fund,2024-07-01,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,977852AD4,,,7750000.0,PA,USD,4440052.5,0.887618817178,Long,DBT,,,,,2,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,Calamos Dynamic Convertible & Income Fund,2024-07-01,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,977852AB8,,,4469000.0,PA,USD,2643815.71,0.528529915659,Long,DBT,,,,,2,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,Calamos Dynamic Convertible & Income Fund,2024-09-30,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,977852AD4,,,7750000.0,PA,USD,3863530.0,0.755428259517,Long,DBT,,,,,2,,,,,,,,,,,,,,,,N,N,N,0.0
